profile,gender,list_favorites,link
lakshika,Female,"[1735, 1535, 5114, 7724, 20]",https://myanimelist.net/profile/lakshika
SCLFI,Male,"[30, 5680, 3002, 245, 4039, 14131, 8676]",https://myanimelist.net/profile/SCLFI
ABlackSwordsman,Male,"[11757, 4224, 9756, 6547, 7791, 4181, 16067]",https://myanimelist.net/profile/ABlackSwordsman
Omnime,Male,"[3229, 2167, 5680, 7791]",https://myanimelist.net/profile/Omnime
AbsarNaeem,Male,"[23755, 23289, 22319, 17074, 5081]",https://myanimelist.net/profile/AbsarNaeem
Azunyan55,Female,"[9989, 7791, 4181, 12189, 11285]",https://myanimelist.net/profile/Azunyan55
Xavirne,Female,"[9941, 6746, 6895]",https://myanimelist.net/profile/Xavirne
samhijazi,X,[552],https://myanimelist.net/profile/samhijazi
JohnPerez,X,"[33255, 20583, 2001, 9253, 31043, 1575]",https://myanimelist.net/profile/JohnPerez
metempsykhosis,Female,"[400, 6, 552, 4898]",https://myanimelist.net/profile/metempsykhosis
Kinshred,Male,"[30831, 25835, 9253]",https://myanimelist.net/profile/Kinshred
MonjaElisa,Female,"[1567, 957, 35788, 249, 22101, 21881, 30654, 521, 1535, 3615]",https://myanimelist.net/profile/MonjaElisa
Shura-shurato,Male,"[2229, 967, 392, 1254, 1016]",https://myanimelist.net/profile/Shura-shurato
fratalbert,X,"[36296, 6547, 38000, 36028, 30831, 1887, 34822, 33241, 19815, 37450]",https://myanimelist.net/profile/fratalbert
Korokun,X,"[1884, 2281, 32977, 32664, 32281]",https://myanimelist.net/profile/Korokun
Jaysiin,X,"[1575, 7674, 23755, 11061]",https://myanimelist.net/profile/Jaysiin
BanjoTheBear,Male,"[14741, 18671, 35608]",https://myanimelist.net/profile/BanjoTheBear
Mystina,Female,"[9107, 14093, 8438, 527, 5680]",https://myanimelist.net/profile/Mystina
JustaMAL,Male,"[1, 934, 5680, 1852, 4224, 10495, 1535, 32262]",https://myanimelist.net/profile/JustaMAL
RuntimeBR,Male,"[35180, 31646, 5680, 7791, 33489, 18679, 34599]",https://myanimelist.net/profile/RuntimeBR
